attrition,age,business_travel,daily_rate,department,distance_from_home,education,education_field,employee_count,employee_number,environment_satisfaction,gender,hourly_rate,job_involvement,job_level,job_role,job_satisfaction,marital_status,monthly_income,monthly_rate,num_companies_worked,over_18,over_time,percent_salary_hike,performance_rating,relationship_satisfaction,standard_hours,stock_option_level,total_working_years,training_times_last_year,work_life_balance,years_at_company,years_in_current_role,years_since_last_promotion,years_with_curr_manager
no,23,travel_rarely,1309,research_development,26,1,life_sciences,1,465,3,male,83,3,1,research_scientist,4,divorced,2904,16092,1,y,no,12,3,3,80,2,4,2,2,4,2,0,2
no,41,travel_rarely,483,research_development,6,3,medical,1,466,4,male,95,2,2,manufacturing_director,2,single,6032,10110,6,y,yes,15,3,4,80,0,8,3,3,5,4,1,2
no,47,travel_frequently,1309,sales,4,1,medical,1,467,2,male,99,3,2,sales_representative,3,single,2976,25751,3,y,no,19,3,1,80,0,5,3,3,0,0,0,0
no,42,travel_rarely,810,research_development,23,5,life_sciences,1,468,1,female,44,3,4,research_director,4,single,15992,15901,2,y,no,14,3,2,80,0,16,2,3,1,0,0,0
no,29,non_travel,746,sales,2,3,life_sciences,1,469,4,male,61,3,2,sales_executive,3,married,4649,16928,1,y,no,14,3,1,80,1,4,3,2,4,3,0,2
no,42,travel_rarely,544,human_resources,2,1,technical_degree,1,470,3,male,52,3,1,human_resources,3,divorced,2696,24017,0,y,yes,11,3,3,80,1,4,5,3,3,2,1,0
no,32,travel_rarely,1062,research_development,2,3,medical,1,471,3,female,75,3,1,laboratory_technician,2,married,2370,3956,1,y,no,13,3,3,80,1,8,4,3,8,0,0,7
no,48,travel_rarely,530,sales,29,1,medical,1,473,1,female,91,3,3,manager,3,married,12504,23978,3,y,no,21,4,2,80,1,15,3,1,0,0,0,0
no,37,travel_rarely,1319,research_development,6,3,medical,1,474,3,male,51,4,2,research_scientist,1,divorced,5974,17001,4,y,yes,13,3,1,80,2,13,2,3,7,7,6,7
no,30,non_travel,641,sales,25,2,technical_degree,1,475,4,female,85,3,2,sales_executive,3,married,4736,6069,7,y,yes,12,3,2,80,1,4,2,4,2,2,2,2
no,26,travel_rarely,933,sales,1,3,life_sciences,1,476,3,male,57,3,2,sales_executive,3,married,5296,20156,1,y,no,17,3,2,80,1,8,3,3,8,7,7,7
no,42,travel_rarely,1332,research_development,2,4,other,1,477,1,male,98,2,2,healthcare_representative,4,single,6781,17078,3,y,no,23,4,2,80,0,14,6,3,1,0,0,0
yes,21,travel_frequently,756,sales,1,1,technical_degree,1,478,1,female,99,2,1,sales_representative,2,single,2174,9150,1,y,yes,11,3,3,80,0,3,3,3,3,2,1,2
no,36,non_travel,845,sales,1,5,medical,1,479,4,female,45,3,2,sales_executive,4,single,6653,15276,4,y,no,15,3,2,80,0,7,6,3,1,0,0,0
no,36,travel_frequently,541,sales,3,4,medical,1,481,1,male,48,2,3,sales_executive,4,married,9699,7246,4,y,no,11,3,1,80,1,16,2,3,13,9,1,12
no,57,travel_rarely,593,research_development,1,4,medical,1,482,4,male,88,3,2,healthcare_representative,3,married,6755,2967,2,y,no,11,3,3,80,0,15,2,3,3,2,1,2
no,40,travel_rarely,1171,research_development,10,4,life_sciences,1,483,4,female,46,4,1,laboratory_technician,3,married,2213,22495,3,y,yes,13,3,3,80,1,10,3,3,7,7,1,7
no,21,non_travel,895,sales,9,2,medical,1,484,1,male,39,3,1,sales_representative,4,single,2610,2851,1,y,no,24,4,3,80,0,3,3,2,3,2,2,2
yes,33,travel_rarely,350,sales,5,3,marketing,1,485,4,female,34,3,1,sales_representative,3,single,2851,9150,1,y,yes,13,3,2,80,0,1,2,3,1,0,0,0
no,37,travel_rarely,921,research_development,10,3,medical,1,486,3,female,98,3,1,laboratory_technician,1,married,3452,17663,6,y,no,20,4,2,80,1,17,3,3,5,4,0,3
no,46,non_travel,1144,research_development,7,4,medical,1,487,3,female,30,3,2,manufacturing_director,3,married,5258,16044,2,y,no,14,3,3,80,0,7,2,4,1,0,0,0
yes,41,travel_frequently,143,sales,4,3,marketing,1,488,1,male,56,3,2,sales_executive,2,single,9355,9558,1,y,no,18,3,3,80,0,8,5,3,8,7,7,7
no,50,travel_rarely,1046,research_development,10,3,technical_degree,1,491,4,male,100,2,3,healthcare_representative,4,single,10496,2755,6,y,no,15,3,4,80,0,20,2,3,4,3,1,3
yes,40,travel_rarely,575,sales,22,2,marketing,1,492,3,male,68,2,2,sales_executive,3,married,6380,6110,2,y,yes,12,3,1,80,2,8,6,3,6,4,1,0
no,31,travel_rarely,408,research_development,9,4,life_sciences,1,493,3,male,42,2,1,research_scientist,2,single,2657,7551,0,y,yes,16,3,4,80,0,3,5,3,2,2,2,2
yes,21,travel_rarely,156,sales,12,3,life_sciences,1,494,3,female,90,4,1,sales_representative,2,single,2716,25422,1,y,no,15,3,4,80,0,1,0,3,1,0,0,0
no,29,travel_rarely,1283,research_development,23,3,life_sciences,1,495,4,male,54,3,1,research_scientist,4,single,2201,18168,9,y,no,16,3,4,80,0,6,4,3,3,2,1,2
no,35,travel_rarely,755,research_development,9,4,life_sciences,1,496,3,male,97,2,2,healthcare_representative,2,single,6540,19394,9,y,no,19,3,3,80,0,10,5,3,1,1,0,0
no,27,travel_rarely,1469,research_development,1,2,medical,1,497,4,male,82,3,1,laboratory_technician,2,divorced,3816,17881,1,y,no,11,3,2,80,1,5,2,3,5,2,0,4
no,28,travel_rarely,304,sales,9,4,life_sciences,1,498,2,male,92,3,2,sales_executive,4,single,5253,20750,1,y,no,16,3,4,80,0,7,1,3,7,5,0,7
no,49,travel_rarely,1261,research_development,7,3,other,1,499,2,male,31,2,3,healthcare_representative,3,single,10965,12066,8,y,no,24,4,3,80,0,26,2,3,5,2,0,0
no,51,travel_rarely,1178,sales,14,2,life_sciences,1,500,3,female,87,3,2,sales_executive,4,married,4936,14862,4,y,no,11,3,3,80,1,18,2,2,7,7,0,7
no,36,travel_rarely,329,research_development,2,3,life_sciences,1,501,4,female,96,3,1,research_scientist,3,married,2543,11868,4,y,no,13,3,2,80,1,6,3,3,2,2,2,2
yes,34,non_travel,1362,sales,19,3,marketing,1,502,1,male,67,4,2,sales_executive,4,single,5304,4652,8,y,yes,13,3,2,80,0,9,3,2,5,2,0,4
no,55,travel_rarely,1311,research_development,2,3,life_sciences,1,505,3,female,97,3,4,manager,4,single,16659,23258,2,y,yes,13,3,3,80,0,30,2,3,5,4,1,2
no,24,travel_rarely,1371,sales,10,4,marketing,1,507,4,female,77,3,2,sales_executive,3,divorced,4260,5915,1,y,yes,12,3,4,80,1,5,2,4,5,2,0,3
no,30,travel_rarely,202,sales,2,1,technical_degree,1,508,3,male,72,3,1,sales_representative,2,married,2476,17434,1,y,no,18,3,1,80,1,1,3,3,1,0,0,0
yes,26,travel_frequently,575,research_development,3,1,technical_degree,1,510,3,male,73,3,1,research_scientist,1,single,3102,6582,0,y,no,22,4,3,80,0,7,2,3,6,4,0,4
no,22,travel_rarely,253,research_development,11,3,medical,1,511,1,female,43,3,1,research_scientist,2,married,2244,24440,1,y,no,13,3,4,80,1,2,1,3,2,1,1,2
no,36,travel_rarely,164,sales,2,2,medical,1,513,2,male,61,2,3,sales_executive,3,married,7596,3809,1,y,no,13,3,2,80,2,10,2,3,10,9,9,0
yes,30,travel_frequently,464,research_development,4,3,technical_degree,1,514,3,male,40,3,1,research_scientist,4,single,2285,3427,9,y,yes,23,4,3,80,0,3,4,3,1,0,0,0
no,37,travel_rarely,1107,research_development,14,3,life_sciences,1,515,4,female,95,3,1,laboratory_technician,1,divorced,3034,26914,1,y,no,12,3,3,80,1,18,2,2,18,7,12,17
no,40,travel_rarely,759,sales,2,2,marketing,1,516,4,female,46,3,2,sales_executive,2,divorced,5715,22553,7,y,no,12,3,3,80,2,8,5,3,5,4,1,3
no,42,travel_rarely,201,research_development,1,4,life_sciences,1,517,2,female,95,3,1,laboratory_technician,1,divorced,2576,20490,3,y,no,16,3,2,80,1,8,5,3,5,2,1,2
no,37,travel_rarely,1305,research_development,10,4,life_sciences,1,518,3,male,49,3,2,manufacturing_director,2,single,4197,21123,2,y,yes,12,3,4,80,0,18,2,2,1,0,0,1
no,43,travel_rarely,982,research_development,12,3,life_sciences,1,520,1,male,59,2,4,research_director,2,divorced,14336,4345,1,y,no,11,3,3,80,1,25,3,3,25,10,3,9
no,40,travel_rarely,555,research_development,2,3,medical,1,521,2,female,78,2,2,laboratory_technician,3,married,3448,13436,6,y,no,22,4,2,80,1,20,3,3,1,0,0,0
no,54,travel_rarely,821,research_development,5,2,medical,1,522,1,male,86,3,5,research_director,1,married,19406,8509,4,y,no,11,3,3,80,1,24,4,2,4,2,1,2
no,34,non_travel,1381,sales,4,4,marketing,1,523,3,female,72,3,2,sales_executive,3,married,6538,12740,9,y,no,15,3,1,80,1,6,3,3,3,2,1,2
no,31,travel_rarely,480,research_development,7,2,medical,1,524,2,female,31,3,2,manufacturing_director,1,married,4306,4156,1,y,no,12,3,2,80,1,13,5,1,13,10,3,12
no,43,travel_frequently,313,research_development,21,3,medical,1,525,4,male,61,3,1,laboratory_technician,4,married,2258,15238,7,y,no,20,4,1,80,1,8,1,3,3,2,1,2
no,43,travel_rarely,1473,research_development,8,4,other,1,526,3,female,74,3,2,healthcare_representative,3,divorced,4522,2227,4,y,yes,14,3,4,80,0,8,3,3,5,2,0,2
no,25,travel_rarely,891,sales,4,2,life_sciences,1,527,2,female,99,2,2,sales_executive,4,single,4487,12090,1,y,yes,11,3,2,80,0,5,3,3,5,4,1,3
no,37,non_travel,1063,research_development,25,5,medical,1,529,2,female,72,3,2,research_scientist,3,married,4449,23866,3,y,yes,15,3,1,80,2,15,2,3,13,11,10,7
no,31,travel_rarely,329,research_development,1,2,life_sciences,1,530,4,male,98,2,1,laboratory_technician,1,married,2218,16193,1,y,no,12,3,3,80,1,4,3,3,4,2,3,2
no,39,travel_frequently,1218,research_development,1,1,life_sciences,1,531,2,male,52,3,5,manager,3,divorced,19197,8213,1,y,yes,14,3,3,80,1,21,3,3,21,8,1,6
no,56,travel_frequently,906,sales,6,3,life_sciences,1,532,3,female,86,4,4,sales_executive,1,married,13212,18256,9,y,no,11,3,4,80,3,36,0,2,7,7,7,7
no,30,travel_rarely,1082,sales,12,3,technical_degree,1,533,2,female,83,3,2,sales_executive,3,single,6577,19558,0,y,no,11,3,2,80,0,6,6,3,5,4,4,4
no,41,travel_rarely,645,sales,1,3,marketing,1,534,2,male,49,4,3,sales_executive,1,married,8392,19566,1,y,no,16,3,3,80,1,10,2,3,10,7,0,7
no,28,travel_rarely,1300,research_development,17,2,medical,1,536,3,male,79,3,2,laboratory_technician,1,divorced,4558,13535,1,y,no,12,3,4,80,1,10,2,3,10,0,1,8
yes,25,travel_rarely,688,research_development,3,3,medical,1,538,1,male,91,3,1,laboratory_technician,1,married,4031,9396,5,y,no,13,3,3,80,1,6,5,3,2,2,0,2
no,52,travel_rarely,319,research_development,3,3,medical,1,543,4,male,39,2,3,manufacturing_director,3,married,7969,19609,2,y,yes,14,3,3,80,0,28,4,3,5,4,0,4
no,45,travel_rarely,192,research_development,10,2,life_sciences,1,544,1,male,69,3,1,research_scientist,4,married,2654,9655,3,y,no,21,4,4,80,2,8,3,2,2,2,0,2
no,52,travel_rarely,1490,research_development,4,2,life_sciences,1,546,4,female,30,3,4,manager,4,married,16555,10310,2,y,no,13,3,4,80,0,31,2,1,5,2,1,4
no,42,travel_frequently,532,research_development,29,2,life_sciences,1,547,1,female,92,3,2,research_scientist,3,divorced,4556,12932,2,y,no,11,3,2,80,1,19,3,3,5,4,0,2
no,30,travel_rarely,317,research_development,2,3,life_sciences,1,548,3,female,43,1,2,manufacturing_director,4,single,6091,24793,2,y,no,20,4,3,80,0,11,2,3,5,4,0,2
no,60,travel_rarely,422,research_development,7,3,life_sciences,1,549,1,female,41,3,5,manager,1,married,19566,3854,5,y,no,11,3,4,80,0,33,5,1,29,8,11,10
no,46,travel_rarely,1485,research_development,18,3,medical,1,550,3,female,87,3,2,manufacturing_director,3,divorced,4810,26314,2,y,no,14,3,3,80,1,19,5,2,10,7,0,8
no,42,travel_frequently,1368,research_development,28,4,technical_degree,1,551,4,female,88,2,2,healthcare_representative,4,married,4523,4386,0,y,no,11,3,4,80,3,7,4,4,6,5,0,4
yes,24,travel_rarely,1448,sales,1,1,technical_degree,1,554,1,female,62,3,1,sales_representative,2,single,3202,21972,1,y,yes,16,3,2,80,0,6,4,3,5,3,1,4
yes,34,travel_frequently,296,sales,6,2,marketing,1,555,4,female,33,1,1,sales_representative,3,divorced,2351,12253,0,y,no,16,3,4,80,1,3,3,2,2,2,1,0
no,38,travel_frequently,1490,research_development,2,2,life_sciences,1,556,4,male,42,3,1,laboratory_technician,4,married,1702,12106,1,y,yes,23,4,3,80,1,1,3,3,1,0,0,0
no,40,travel_rarely,1398,sales,2,4,life_sciences,1,558,3,female,79,3,5,manager,3,married,18041,13022,0,y,no,14,3,4,80,0,21,2,3,20,15,1,12
no,26,travel_rarely,1349,research_development,23,3,life_sciences,1,560,1,female,90,3,1,research_scientist,4,divorced,2886,3032,1,y,no,22,4,2,80,2,3,3,1,3,2,0,2
no,30,non_travel,1400,research_development,3,3,life_sciences,1,562,3,male,53,3,1,laboratory_technician,4,married,2097,16734,4,y,no,15,3,3,80,1,9,3,1,5,3,1,4
no,29,travel_rarely,986,research_development,3,4,medical,1,564,2,male,93,2,3,research_director,3,married,11935,21526,1,y,no,18,3,3,80,0,10,2,3,10,2,0,7
yes,29,travel_rarely,408,research_development,25,5,technical_degree,1,565,3,female,71,2,1,research_scientist,2,married,2546,18300,5,y,no,16,3,2,80,0,6,2,4,2,2,1,1
yes,19,travel_rarely,489,human_resources,2,2,technical_degree,1,566,1,male,52,2,1,human_resources,4,single,2564,18437,1,y,no,12,3,3,80,0,1,3,4,1,0,0,0
no,30,non_travel,1398,sales,22,4,other,1,567,3,female,69,3,3,sales_executive,1,married,8412,2890,0,y,no,11,3,3,80,0,10,3,3,9,8,7,8
no,57,travel_rarely,210,sales,29,3,marketing,1,568,1,male,56,2,4,manager,4,divorced,14118,22102,3,y,no,12,3,3,80,1,32,3,2,1,0,0,0
no,50,travel_rarely,1099,research_development,29,4,life_sciences,1,569,2,male,88,2,4,manager,3,married,17046,9314,0,y,no,15,3,2,80,1,28,2,3,27,10,15,7
no,30,non_travel,1116,research_development,2,3,medical,1,571,3,female,49,3,1,laboratory_technician,4,single,2564,7181,0,y,no,14,3,3,80,0,12,2,2,11,7,6,7
no,60,travel_frequently,1499,sales,28,3,marketing,1,573,3,female,80,2,3,sales_executive,1,married,10266,2845,4,y,no,19,3,4,80,0,22,5,4,18,13,13,11
no,47,travel_rarely,983,research_development,2,2,medical,1,574,1,female,65,3,2,manufacturing_director,4,divorced,5070,7389,5,y,no,13,3,3,80,3,20,2,3,5,0,0,4
no,46,travel_rarely,1009,research_development,2,3,life_sciences,1,575,1,male,51,3,4,research_director,3,married,17861,2288,6,y,no,13,3,3,80,0,26,2,1,3,2,0,1
no,35,travel_rarely,144,research_development,22,3,life_sciences,1,577,4,male,46,1,1,laboratory_technician,3,single,4230,19225,0,y,no,15,3,3,80,0,6,2,3,5,4,4,3
no,54,travel_rarely,548,research_development,8,4,life_sciences,1,578,3,female,42,3,2,laboratory_technician,3,single,3780,23428,7,y,no,11,3,3,80,0,19,3,3,1,0,0,0
no,34,travel_rarely,1303,research_development,2,4,life_sciences,1,579,4,male,62,2,1,research_scientist,3,divorced,2768,8416,3,y,no,12,3,3,80,1,14,3,3,7,3,5,7
no,46,travel_rarely,1125,sales,10,3,marketing,1,580,3,female,94,2,3,sales_executive,4,married,9071,11563,2,y,yes,19,3,3,80,1,15,3,3,3,2,1,2
no,31,travel_rarely,1274,research_development,9,1,life_sciences,1,581,3,male,33,3,3,manufacturing_director,2,divorced,10648,14394,1,y,no,25,4,4,80,1,13,6,4,13,8,0,8
yes,33,travel_rarely,1277,research_development,15,1,medical,1,582,2,male,56,3,3,manager,3,married,13610,24619,7,y,yes,12,3,4,80,0,15,2,4,7,6,7,7
yes,33,travel_rarely,587,research_development,10,1,medical,1,584,1,male,38,1,1,laboratory_technician,4,divorced,3408,6705,7,y,no,13,3,1,80,3,8,2,3,4,3,1,3
no,30,travel_rarely,413,sales,7,1,marketing,1,585,4,male,57,3,1,sales_representative,2,single,2983,18398,0,y,no,14,3,1,80,0,4,3,3,3,2,1,2
no,35,travel_rarely,1276,research_development,16,3,life_sciences,1,586,4,male,72,3,3,healthcare_representative,3,married,7632,14295,4,y,yes,12,3,3,80,0,10,2,3,8,7,0,0
yes,31,travel_frequently,534,research_development,20,3,life_sciences,1,587,1,male,66,3,3,healthcare_representative,3,married,9824,22908,3,y,no,12,3,1,80,0,12,2,3,1,0,0,0
yes,34,travel_frequently,988,human_resources,23,3,human_resources,1,590,2,female,43,3,3,human_resources,1,divorced,9950,11533,9,y,yes,15,3,3,80,3,11,2,3,3,2,0,2
no,42,travel_frequently,1474,research_development,5,2,other,1,591,2,male,97,3,1,laboratory_technician,3,married,2093,9260,4,y,no,17,3,4,80,1,8,4,3,2,2,2,0
no,36,non_travel,635,sales,10,4,medical,1,592,2,male,32,3,3,sales_executive,4,single,9980,15318,1,y,no,14,3,4,80,0,10,3,2,10,3,9,7
yes,22,travel_frequently,1368,research_development,4,1,technical_degree,1,593,3,male,99,2,1,laboratory_technician,3,single,3894,9129,5,y,no,16,3,3,80,0,4,3,3,2,2,1,2
no,48,travel_rarely,163,sales,2,5,marketing,1,595,2,female,37,3,2,sales_executive,4,married,4051,19658,2,y,no,14,3,1,80,1,14,2,3,9,7,6,7
no,55,travel_rarely,1117,sales,18,5,life_sciences,1,597,1,female,83,3,4,manager,2,single,16835,9873,3,y,no,23,4,4,80,0,37,2,3,10,9,7,7
no,41,non_travel,267,sales,10,2,life_sciences,1,599,4,male,56,3,2,sales_executive,4,single,6230,13430,7,y,no,14,3,4,80,0,16,3,3,14,3,1,10
no,35,travel_rarely,619,sales,1,3,marketing,1,600,2,male,85,3,2,sales_executive,3,married,4717,18659,9,y,no,11,3,3,80,0,15,2,3,11,9,6,9
no,40,travel_rarely,302,research_development,6,3,life_sciences,1,601,2,female,75,3,4,manufacturing_director,3,single,13237,20364,7,y,no,15,3,3,80,0,22,3,3,20,6,5,13
no,39,travel_frequently,443,research_development,8,1,life_sciences,1,602,3,female,48,3,1,laboratory_technician,3,married,3755,17872,1,y,no,11,3,1,80,1,8,3,3,8,3,0,7
no,31,travel_rarely,828,sales,2,1,life_sciences,1,604,2,male,77,3,2,sales_executive,4,single,6582,8346,4,y,yes,13,3,3,80,0,10,2,4,6,5,0,5
no,42,travel_rarely,319,research_development,24,3,medical,1,605,4,male,56,3,3,manufacturing_director,1,married,7406,6950,1,y,yes,21,4,4,80,1,10,5,2,10,9,5,8
no,45,travel_rarely,561,sales,2,3,other,1,606,4,male,61,3,2,sales_executive,2,married,4805,16177,0,y,no,19,3,2,80,1,9,3,4,8,7,3,7
yes,26,travel_frequently,426,human_resources,17,4,life_sciences,1,608,2,female,58,3,1,human_resources,3,divorced,2741,22808,0,y,yes,11,3,2,80,1,8,2,2,7,7,1,0
no,29,travel_rarely,232,research_development,19,3,technical_degree,1,611,4,male,34,3,2,manufacturing_director,4,divorced,4262,22645,4,y,no,12,3,2,80,2,8,2,4,3,2,1,2
no,33,travel_rarely,922,research_development,1,5,medical,1,612,1,female,95,4,4,research_director,3,divorced,16184,22578,4,y,no,19,3,3,80,1,10,2,3,6,1,0,5
no,31,travel_rarely,688,sales,7,3,life_sciences,1,613,3,male,44,2,3,manager,4,divorced,11557,25291,9,y,no,21,4,3,80,1,10,3,2,5,4,0,1
yes,18,travel_frequently,1306,sales,5,3,marketing,1,614,2,male,69,3,1,sales_representative,2,single,1878,8059,1,y,yes,14,3,4,80,0,0,3,3,0,0,0,0
no,40,non_travel,1094,sales,28,3,other,1,615,3,male,58,1,3,sales_executive,1,divorced,10932,11373,3,y,no,15,3,3,80,1,20,2,3,1,0,0,1
no,41,non_travel,509,research_development,2,4,other,1,616,1,female,62,2,2,healthcare_representative,3,single,6811,2112,2,y,yes,17,3,1,80,0,10,3,3,8,7,0,7
no,26,travel_rarely,775,sales,29,2,medical,1,618,1,male,45,3,2,sales_executive,3,divorced,4306,4267,5,y,no,12,3,1,80,2,8,5,3,0,0,0,0
no,35,travel_rarely,195,sales,1,3,medical,1,620,1,female,80,3,2,sales_executive,3,single,4859,6698,1,y,no,16,3,4,80,0,5,3,3,5,4,0,3
no,34,travel_rarely,258,sales,21,4,life_sciences,1,621,4,male,74,4,2,sales_executive,4,single,5337,19921,1,y,no,12,3,4,80,0,10,3,3,10,7,5,7
yes,26,travel_rarely,471,research_development,24,3,technical_degree,1,622,3,male,66,1,1,laboratory_technician,4,single,2340,23213,1,y,yes,18,3,2,80,0,1,3,1,1,0,0,0
no,37,travel_rarely,799,research_development,1,3,technical_degree,1,623,2,female,59,3,3,manufacturing_director,4,single,7491,23848,4,y,no,17,3,4,80,0,12,3,4,6,5,1,2
no,46,travel_frequently,1034,research_development,18,1,medical,1,624,1,female,86,3,3,healthcare_representative,3,married,10527,8984,5,y,no,11,3,4,80,0,28,3,2,2,2,1,2
no,41,travel_rarely,1276,sales,2,5,life_sciences,1,625,2,female,91,3,4,manager,1,married,16595,5626,7,y,no,16,3,2,80,1,22,2,3,18,16,11,8
no,37,non_travel,142,sales,9,4,medical,1,626,1,male,69,3,3,sales_executive,2,divorced,8834,24666,1,y,no,13,3,4,80,1,9,6,3,9,5,7,7
no,52,travel_rarely,956,research_development,6,2,technical_degree,1,630,4,male,78,3,2,research_scientist,1,divorced,5577,22087,3,y,yes,12,3,2,80,2,18,3,3,10,9,6,9
yes,32,non_travel,1474,sales,11,4,other,1,631,4,male,60,4,2,sales_executive,3,married,4707,23914,8,y,no,12,3,4,80,0,6,2,3,4,2,1,2
no,24,travel_frequently,535,sales,24,3,medical,1,632,4,male,38,3,1,sales_representative,4,married,2400,5530,0,y,no,13,3,3,80,2,3,3,3,2,2,2,1
no,38,travel_rarely,1495,research_development,10,3,medical,1,634,3,female,76,3,2,healthcare_representative,3,married,9824,22174,3,y,no,19,3,3,80,1,18,4,3,1,0,0,0
no,37,travel_rarely,446,research_development,1,4,life_sciences,1,635,2,female,65,3,2,manufacturing_director,2,married,6447,15701,6,y,no,12,3,2,80,1,8,2,2,6,5,4,3
no,49,travel_rarely,1245,research_development,18,4,life_sciences,1,638,4,male,58,2,5,research_director,3,divorced,19502,2125,1,y,yes,17,3,3,80,1,31,5,3,31,9,0,9
no,24,travel_rarely,691,research_development,23,3,medical,1,639,2,male,89,4,1,research_scientist,4,married,2725,21630,1,y,yes,11,3,2,80,2,6,3,3,6,5,1,4
no,26,travel_rarely,703,sales,28,2,marketing,1,641,1,male,66,3,2,sales_executive,2,married,6272,7428,1,y,no,20,4,4,80,2,6,5,4,5,3,1,4
no,24,travel_rarely,823,research_development,17,2,other,1,643,4,male,94,2,1,laboratory_technician,2,married,2127,9100,1,y,no,21,4,4,80,1,1,2,3,1,0,0,0
no,50,travel_frequently,1246,human_resources,3,3,medical,1,644,1,male,99,3,5,manager,2,married,18200,7999,1,y,no,11,3,3,80,1,32,2,3,32,5,10,7
no,25,travel_rarely,622,sales,13,1,medical,1,645,2,male,40,3,1,sales_representative,3,married,2096,26376,1,y,no,11,3,3,80,0,7,1,3,7,4,0,6
yes,24,travel_frequently,1287,research_development,7,3,life_sciences,1,647,1,female,55,3,1,laboratory_technician,3,married,2886,14168,1,y,yes,16,3,4,80,1,6,4,3,6,3,1,2
yes,30,travel_frequently,448,sales,12,4,life_sciences,1,648,2,male,74,2,1,sales_representative,1,married,2033,14470,1,y,no,18,3,3,80,1,1,2,4,1,0,0,0
no,34,travel_rarely,254,research_development,1,2,life_sciences,1,649,2,male,83,2,1,research_scientist,4,married,3622,22794,1,y,yes,13,3,4,80,1,6,3,3,6,5,1,3
yes,31,travel_rarely,1365,sales,13,4,medical,1,650,2,male,46,3,2,sales_executive,1,divorced,4233,11512,2,y,no,17,3,3,80,0,9,2,1,3,1,1,2
no,35,travel_rarely,538,research_development,25,2,other,1,652,1,male,54,2,2,laboratory_technician,4,single,3681,14004,4,y,no,14,3,4,80,0,9,3,3,3,2,0,2
no,31,travel_rarely,525,sales,6,4,medical,1,653,1,male,66,4,2,sales_executive,4,divorced,5460,6219,4,y,no,22,4,4,80,2,13,4,4,7,7,5,7
no,27,travel_rarely,798,research_development,6,4,medical,1,655,1,female,66,2,1,research_scientist,3,divorced,2187,5013,0,y,no,12,3,3,80,2,6,5,2,5,3,0,3
no,37,travel_rarely,558,sales,2,3,marketing,1,656,4,male,75,3,2,sales_executive,3,married,9602,3010,4,y,yes,11,3,3,80,1,17,3,2,3,0,1,0
no,20,travel_rarely,959,research_development,1,3,life_sciences,1,657,4,female,83,2,1,research_scientist,2,single,2836,11757,1,y,no,13,3,4,80,0,1,0,4,1,0,0,0
no,42,travel_rarely,622,research_development,2,4,life_sciences,1,659,3,female,81,3,2,healthcare_representative,4,married,4089,5718,1,y,no,13,3,2,80,2,10,4,3,10,2,2,2
no,43,travel_rarely,782,research_development,6,4,other,1,661,2,male,50,2,4,research_director,4,divorced,16627,2671,4,y,yes,14,3,3,80,1,21,3,2,1,0,0,0
no,38,travel_rarely,362,research_development,1,1,life_sciences,1,662,3,female,43,3,1,research_scientist,1,single,2619,14561,3,y,no,17,3,4,80,0,8,3,2,0,0,0,0
no,43,travel_frequently,1001,research_development,9,5,medical,1,663,4,male,72,3,2,laboratory_technician,3,divorced,5679,19627,3,y,yes,13,3,2,80,1,10,3,3,8,7,4,7
no,48,travel_rarely,1236,research_development,1,4,life_sciences,1,664,4,female,40,2,4,manager,1,married,15402,17997,7,y,no,11,3,1,80,1,21,3,1,3,2,0,2
no,44,travel_rarely,1112,human_resources,1,4,life_sciences,1,665,1,female,50,2,2,human_resources,3,single,5985,26894,4,y,no,11,3,2,80,0,10,1,4,2,2,0,2
no,34,travel_rarely,204,sales,14,3,technical_degree,1,666,3,female,31,3,1,sales_representative,3,divorced,2579,2912,1,y,yes,18,3,4,80,2,8,3,3,8,2,0,6
yes,27,travel_rarely,1420,sales,2,1,marketing,1,667,3,male,85,3,1,sales_representative,1,divorced,3041,16346,0,y,no,11,3,2,80,1,5,3,3,4,3,0,2
no,21,travel_rarely,1343,sales,22,1,technical_degree,1,669,3,male,49,3,1,sales_representative,3,single,3447,24444,1,y,no,11,3,3,80,0,3,2,3,3,2,1,2
no,44,travel_rarely,1315,research_development,3,4,other,1,671,4,male,35,3,5,manager,4,married,19513,9358,4,y,yes,12,3,1,80,1,26,2,4,2,2,0,1
no,22,travel_rarely,604,research_development,6,1,medical,1,675,1,male,69,3,1,research_scientist,3,married,2773,12145,0,y,no,20,4,4,80,0,3,3,3,2,2,2,2
no,33,travel_rarely,1216,sales,8,4,marketing,1,677,3,male,39,3,2,sales_executive,3,divorced,7104,20431,0,y,no,12,3,4,80,0,6,3,3,5,0,1,2
no,32,travel_rarely,646,research_development,9,4,life_sciences,1,679,1,female,92,3,2,research_scientist,4,married,6322,18089,1,y,yes,12,3,4,80,1,6,2,2,6,4,0,5
no,30,travel_frequently,160,research_development,3,3,medical,1,680,3,female,71,3,1,research_scientist,3,divorced,2083,22653,1,y,no,20,4,3,80,1,1,2,3,1,0,0,0
no,53,travel_rarely,238,sales,1,1,medical,1,682,4,female,34,3,2,sales_executive,1,single,8381,7507,7,y,no,20,4,4,80,0,18,2,4,14,7,8,10
no,34,travel_rarely,1397,research_development,1,5,life_sciences,1,683,2,male,42,3,1,research_scientist,4,married,2691,7660,1,y,no,12,3,4,80,1,10,4,2,10,9,8,8
